Organization Name,Organization Name URL,Industry Groups,Number of Employees,Industries,Headquarters Location,Description,CB Rank (Organization),Stage,CB Rank (Company),Website,Contact Email,LinkedIn,Phone Number,Last Funding Date,Last Funding Type,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount (in USD)
Vivatides Therapeutics,https://www.crunchbase.com/organization/vivatides-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical","Woburn, Massachusetts, United States",Vivatides Therapeutics develops new RNA treatments to help improve patients' lives using biotechnology research.,"26,869",,"24,138",,,https://www.linkedin.com/company/vivatides-therapeutics-inc/,,2025-02-12,Seed,10000000,USD,10000000
Kuehnle Agrosystems,https://www.crunchbase.com/organization/kuehnle-agrosystems,"Biotechnology, Health Care, Science and Engineering, Software",1-10,"Biotechnology, Developer Platform, Genetics, Health Care","Honolulu, Hawaii, United States",Kuehnle Agrosystems is involved in biotech research and development of plant-based systems for producing biologically active compounds.,"26,906",,"24,174",http://kuehnleagro.com,,https://www.linkedin.com/company/kuehnle-agrosystems-inc./,808-469-4181,2024-03-13,Series A,3000000,USD,3000000
Coral Genomics,https://www.crunchbase.com/organization/coral-genomics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Genetics, Health Care","San Francisco, California, United States",Coral develops new clinical tests to help providers streamline prior authorization and select the effective medication.,"26,925",,"24,193",https://www.coralgenomics.com,,https://www.linkedin.com/company/coral-genomics,,2021-01-28,Grant,1700000,USD,1700000
Juniper,https://www.crunchbase.com/organization/juniper-reproductive-health-ltd,"Community and Lifestyle, Financial Services, Health Care",1-10,"Fertility, Health Insurance, Women's","London, England, United Kingdom",Juniper is a reproductive healthcare insurance provider.,"26,933",,"24,201",https://getjuniper.co.uk/,info@getjuniper.co.uk,https://www.linkedin.com/company/get-juniper,,2024-02-20,Pre-Seed,1500000,GBP,1893741
LifeWeb 360,https://www.crunchbase.com/organization/lifeweb-360,"Community and Lifestyle, Health Care, Internet Services, Media and Entertainment, Software",1-10,"Consumer Software, Funerals, Social Media, Wellness","Chicago, Illinois, United States",LifeWeb 360 is a chicago-based company dedicated on preserving memories.,"26,974",,"24,242",https://www.lifeweb360.com,Support@LifeWeb360.com,https://www.linkedin.com/company/lifeweb360,+1 (708) 320-1084,2024-07-23,Grant,,,
Proteine Resources,https://www.crunchbase.com/organization/proteine-resources,"Biotechnology, Health Care, Manufacturing, Science and Engineering",1-10,"Biotechnology, Health Care, Industrial, Manufacturing","Maslomiaca, Malopolskie, Poland",Proteine Resources is a food company that transforms pet food production making it scalable and profitable.,"27,033",,"24,294",https://www.proteineresources.com,office@proteineresources.com,https://www.linkedin.com/company/proteineresources,,2025-11-17,Venture - Series Unknown,,,
Superluminal Medicines,https://www.crunchbase.com/organization/superluminal-medicines,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Pharmaceutical","Boston, Massachusetts, United States",Superluminal Medicines is a generative biological and chemical company that innovates drug discovery and development processes.,"27,053",,"24,311",https://www.superluminalrx.com,,https://www.linkedin.com/company/superluminalrx,,2025-08-14,Corporate Round,,,
OUMERE,https://www.crunchbase.com/organization/oumere,"Clothing and Apparel, Commerce and Shopping, Consumer Goods, Design, Health Care",1-10,"Beauty, Consumer Goods, E-Commerce, Fashion, Personal Health, Wellness","Palm Beach, Florida, United States","OUMERE is a luxury scientific cosmetic company specializing in natural, anti-aging skin care","27,093",,"24,349",https://www.oumere.com,customerservice@oumere.com,https://www.linkedin.com/company/oumere-skin-care/,,2025-12-08,Seed,3500000,USD,3500000
Lisa Health,https://www.crunchbase.com/organization/lisa-health,"Community and Lifestyle, Health Care",1-10,"Health Care, Wellness, Women's","Oakland, California, United States",Lisa Health creates advanced technology solutions for menopause and healthy aging.,"27,132",,"24,386",https://midday.health/,hello@midday.health,https://www.linkedin.com/company/midday-health,,2022-07-22,Seed,2500000,USD,2500000
Aequor,https://www.crunchbase.com/organization/aequor-inc,"Biotechnology, Health Care, Manufacturing, Professional Services, Science and Engineering",1-10,"Biotechnology, Chemical, Chemical Engineering, Consulting, Industrial, Medical","San Diego, California, United States","Aequor developed 70 anti-biofilm and anti-fouling molecules, engaging in research and development of chemicals from marine microbes.","27,178",,"24,430",http://www.aequorinc.com,contact@aequorinc.com,https://www.linkedin.com/company/617065/,858-255-7854,2024-01-01,Seed,200000,USD,200000
Xtresse,https://www.crunchbase.com/organization/xtresse,Health Care,1-10,"Health Care, Medical, Wellness","Orlando, Florida, United States",Xtresse is a scientifically formulated hair‐growth gummies using regenerative X3-BioActive Blend for follicle health.,"27,200",,"24,451",https://xtresse.com/,,https://www.linkedin.com/company/xtressehair/about/,,2025-11-21,Seed,2691250,USD,2691250
Teiko.bio,https://www.crunchbase.com/organization/teiko-bio,"Biotechnology, Data and Analytics, Health Care, Science and Engineering",1-10,"Biometrics, Biotechnology, Health Care, Health Diagnostics, Life Science, Medical","Salt Lake City, Utah, United States",Teiko.bio is an immune profiling platform that enables clinicians to make informed decisions around patient response.,"27,214",,"24,464",https://teiko.bio/,info@teiko.bio,https://www.linkedin.com/company/teiko-bio/,,2025-01-01,Venture - Series Unknown,,,
Optura,https://www.crunchbase.com/organization/optura-5553,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care","Nashville, Tennessee, United States",Optura operates as an AI Healthcare platform.,"27,221",,"24,470",https://www.optura.ai/,,https://www.linkedin.com/company/optura-ai/about/,,2025-05-20,Seed,6500000,USD,6500000
Orakl Oncology,https://www.crunchbase.com/organization/orakl-oncology,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Oncology, Therapeutics","Villejuif, Ile-de-France, France",Orakl Oncology is a precision oncology company that combines data and biology to bring new drugs to cancer patients.,"27,253",,"24,501",https://www.orakl-oncology.com,,https://www.linkedin.com/company/orakloncology,,2025-10-08,Non-equity Assistance,1000000,USD,1000000
ASTRA Therapeutics,https://www.crunchbase.com/organization/astra-therapeutics,Health Care,1-10,"Health Care, Medical, Therapeutics","Villigen, Aargau, Switzerland",ASTRA Therapeutics is a medication development business that uses cutting-edge science and technology.,"27,259",,"24,507",https://www.astratherapeutics.com,contact@astratherapeutics.ch,,,2025-07-24,Seed,7500000,CHF,9434840
Double Blind Bio,https://www.crunchbase.com/organization/double-blind-bio,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Test and Measurement","San Francisco, California, United States",Double Blind Bio is an AI-powered clinical trial site automation platform reducing feasibility and enrollment burdens.,"27,261",,"24,509",http://www.doubleblindbio.co/,support@doubleblindbio.co,https://www.linkedin.com/company/double-blind-bio/,,2025-12-23,Seed,5619999,USD,5619999
PIC Therapeutics,https://www.crunchbase.com/organization/pic-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Therapeutics","Natick, Massachusetts, United States",PIC Therapeutics is a biotechnology company focused on transforming the treatment of cancer.,"27,265",,"24,512",https://www.pictherapeutics.com/,info@pictherapeutics.com,https://www.linkedin.com/company/pic-therapeutics/,6175288715,2022-10-19,Series A,35000000,USD,35000000
FloBiotech,https://www.crunchbase.com/organization/flobiotech,Health Care,1-10,"Health Care, Health Diagnostics, Medical","Basel, Basel-Stadt, Switzerland","Biotech in Tauopathies - Alzheimer's Disease, PSP, CTE, Parkinson's, and many others ...","27,280",,"24,523",,Loic.Galera@Flo-Biotech.com,https://www.linkedin.com/company/flobiotech/,+41 (0) 79 363 8682,2025-11-01,Pre-Seed,550000,USD,550000
Kaida BioPharma,https://www.crunchbase.com/organization/kaida-biopharma,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Medical, Pharmaceutical","Fort Lauderdale, Florida, United States","Kaida BioPharma develops therapies for treatment-resistant gynecological cancers, focusing on ovarian cancer and hormone-driven diseases.","27,366",,"24,605",https://kaida-biopharma.com,,https://www.linkedin.com/company/kaida-biopharma,+1 (917) 683-3092,2026-01-21,Seed,1570507,USD,1570507
H+Trace,https://www.crunchbase.com/organization/h-trace,"Artificial Intelligence (AI), Data and Analytics, Food and Beverage, Health Care, Internet Services, Science and Engineering, Software, Transportation",1-10,"Artificial Intelligence (AI), Food and Beverage, Health Care, Internet of Things, Logistics, Supply Chain Management","Miami, Florida, United States",AI platform for Healthcare supply chain optimization,"27,376",,"24,613",https://h-trace.com/,hello@h-trace.com,https://www.linkedin.com/company/h-trace/,+1 (954) 381-1400,2025-07-11,Pre-Seed,500000,USD,500000
Plant People,https://www.crunchbase.com/organization/plant-people,"Consumer Goods, Health Care, Manufacturing, Sustainability",1-10,"Consumer Goods, Manufacturing, Organic, Wellness","San Marcos, Texas, United States",Plant People is a producer of hemp and herbal supplements along with it company also is a supplier of organic supplements.,"27,377",,"24,614",https://www.plantpeople.co/,hi@plantpeople.co,https://www.linkedin.com/company/plant-people/,+1855-422-0990,2025-11-12,Series A,7934656,USD,7934656
"PyrAmes, Inc.",https://www.crunchbase.com/organization/pyrames-inc,"Consumer Electronics, Hardware, Health Care, Manufacturing",1-10,"Computer, Health Care, Manufacturing, Medical Device","Cupertino, California, United States","PyrAmes has developed a paper thin, flexible, ultra low power device for non-invasive monitoring of blood pressure","27,394",,"24,630",http://www.pyrameshealth.com/,info@pyrameshealth.com,https://www.linkedin.com/company/pyrames,408-216-0099 ,2024-10-15,Grant,50000,USD,50000
Ananya Health,https://www.crunchbase.com/organization/ananya-health,"Community and Lifestyle, Health Care",1-10,"Health Care, Medical Device, Women's","San Francisco, California, United States",Ananya Health develops a medical device for treating cervical pre-cancer.,"27,436",,"24,668",https://www.ananya.health,hi@ananya.health,https://www.linkedin.com/company/ananya-health,,2024-09-03,Grant,2300000,USD,2300000
Daré Bioscience,https://www.crunchbase.com/organization/dare-bioscience,"Biotechnology, Community and Lifestyle, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Health Care, Women's","San Diego, California, United States",Daré Bioscience is a biopharmaceutical company that develops and commercializes therapies for women's health.,"27,467",,"24,697",https://www.darebioscience.com,innovations@darebioscience.com,https://www.linkedin.com/company/dare-bioscience,(858) 926-7655,2025-11-24,Grant,3600000,USD,3600000
Maya AI,https://www.crunchbase.com/organization/maya-AI,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Generative AI, Pharmaceutical","Tampa, Florida, United States","Maya is an workflow automation platform, for teams without an RPA developer.","27,476",,"24,706",https://mayaknows.com/,support@mayaknows.com,https://www.linkedin.com/company/mayaaiknows/,8134957929,2023-09-11,Pre-Seed,120000,USD,120000
Jack Fertility,https://www.crunchbase.com/organization/jack-fertility,Health Care,1-10,"Fertility, Medical","Oxford, Oxfordshire, United Kingdom",Jack Fertility provides home sperm testing kits for personalized semen analysis.,"27,479",,"24,709",https://www.jackfertility.co.uk,hello@jackfertility.co.uk,https://www.linkedin.com/company/jack-fertility,,2025-10-01,Pre-Seed,500000,GBP,673921
PeriVision,https://www.crunchbase.com/organization/perivision,"Artificial Intelligence (AI), Data and Analytics, Hardware, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Medical, Software, Virtual Reality","Epalinges, Vaud, Switzerland","Perivision offers cloud computing, virtual reality, and artificial intelligence to create next-generation solutions.","27,492",,"24,722",https://perivision.io,,https://www.linkedin.com/company/perivisionswitzerland,,2025-09-11,Seed,2400000,CHF,3015098
BiomeSense,https://www.crunchbase.com/organization/biomesense,"Biotechnology, Data and Analytics, Health Care, Science and Engineering",1-10,"Analytics, Bioinformatics, Biotechnology, Health Care, Life Science, Medical","Chicago, Illinois, United States","BiomeSense is a developing novel technologies to enable continuous, at-home monitoring of the human microbiome.","27,507",,"24,737",https://www.biomesense.com/,info@biomesense.com,https://www.linkedin.com/company/biomesense,,2025-08-12,Seed,,,
HelloMD,https://www.crunchbase.com/organization/hellomd,"Community and Lifestyle, Food and Beverage, Hardware, Health Care, Information Technology, Media and Entertainment, Video",1-10,"Cannabis, Health Care, Information Technology, Telecommunications, Video","San Francisco, California, United States",HelloMD is a digital healthcare platform for medical cannabis doctor consultations.,"27,526",,"24,755",http://www.hellomd.com,info@hellomd.com,,415 300 0491,2018-03-04,Series A,7000000,USD,7000000
Turn Medical,https://www.crunchbase.com/organization/turn-medical,Health Care,1-10,"Health Care, Medical, Medical Device","San Antonio, Texas, United States",Turn Medical is a medical device company delivering healthcare solutions from patients to clinicians.,"27,530",,"24,759",https://turnmedical.com,info@turnmedical.com,https://www.linkedin.com/company/turn-medical,855-275-8876,2024-04-08,Venture - Series Unknown,4700000,USD,4700000
Onyx Bio,https://www.crunchbase.com/organization/cosigned-9e21,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Life Science, Pharmaceutical","Berkeley, California, United States",Onyx Bio is a biotech company that offers a virtual immune system for faster and safer development of precision medicines,"27,542",,"24,771",https://www.onyx.bio/,press@cosigned.com,https://www.linkedin.com/company/onyxbio/,+1 415-617-5959,2026-02-25,Venture - Series Unknown,7999999,USD,7999999
MEZOO,https://www.crunchbase.com/organization/mezoo,"Health Care, Manufacturing",1-10,"Health Care, Manufacturing, Medical Device","Wonju, Kangwon-do, South Korea",MEZOO is a medical device manufacturing company.,"27,549",,"24,776",https://www.me-zoo.com/,help@me-zoo.com,,82-33-761-2006,2023-11-07,Series B,18000000000,KRW,13793368
EVerZom,https://www.crunchbase.com/organization/everzom,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Pharmaceutical","Paris, Ile-de-France, France",EVerZom is a nanomedicine biotech company providing a large scale of GMP manufacturing platform of extracellular vesicles.,"27,555",,"24,783",https://www.everzom.com/,nicolas.rousseau@everzom.com,https://www.linkedin.com/company/everzom,+33678280120,2025-10-14,Series A,10000000,EUR,11603311
CrossPoint Therapeutics,https://www.crunchbase.com/organization/crosspoint-therapeutics,Health Care,1-10,"Medical, Pharmaceutical, Therapeutics","Giheung, Kyonggi-do, South Korea",CrossPoint Therapeutics is a therapeutics company that specializes in drug development by using Stealth-Body antibody source technology.,"27,599",,"24,820",https://www.crosspointrx.com/ko,info@crosspointrx.com,,+82 031-378-3575,2026-03-04,Seed,3600000000,KRW,2462633
Sava,https://www.crunchbase.com/organization/sava-e83c,"Commerce and Shopping, Community and Lifestyle, Food and Beverage, Health Care, Sales and Marketing",1-10,"Cannabis, E-Commerce, Marketplace, Sales","San Francisco, California, United States",Sava is the leading E-commerce brand for premium Cannabis consumers.,"27,617",,"24,834",https://www.getsava.com/,info@getsava.com,https://www.linkedin.com/company/getsava/,415-993-9973,2018-09-01,Seed,2700000,USD,2700000
AlliConnect,https://www.crunchbase.com/organization/alliconnect,"Artificial Intelligence (AI), Data and Analytics, Government and Military, Health Care, Information Technology, Privacy and Security, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), GovTech, Health Care, Law Enforcement, Mental Health, Public Safety, SaaS, Software, Wellness","Seattle, Washington, United States","Alli Connect is B2B mental health SaaS improving clinical outcomes for patients and profitability for employers, health plans and insurers.","27,640",,"24,855",https://alliconnect.com/,info@alliconnect.io,https://www.linkedin.com/company/alliconnect/,206-466-0915,2023-06-09,Seed,,,
Asha Health,https://www.crunchbase.com/organization/asha-health,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Health Care, Hospital","New York, New York, United States",Asha Health provides tools for medical practices to easily launch their own AI clinics.,"27,658",,"24,872",https://asha.health/,founders@asha.health,https://www.linkedin.com/company/asha-health-ai/,,2024-12-30,Seed,3900000,USD,3900000
Hera Fertility,https://www.crunchbase.com/organization/hera-fertility,Health Care,1-10,"Health Care, Health Diagnostics, Medical Device, Telehealth","Claymont, Delaware, United States","Hera is a telemedicine provider for fertility care, offering convenient testing, affordable at-home treatment options, and concierge care.","27,662",,"24,876",https://www.herafertility.co,hello@herafertility.co,https://www.linkedin.com/company/herafertility/,1-888-850-0919,2023-09-11,Pre-Seed,120000,USD,120000
VISIE,https://www.crunchbase.com/organization/advanced-scanners-inc,"Biotechnology, Health Care, Science and Engineering",1-10,"Health Care, Life Science, Medical Device","Austin, Texas, United States",Advanced Scanners provide optimal 3D surface mapping for precise intra-operative diagnostics and positioning.,"27,716",,"24,927",https://visievision.com/,jeffl@advancedscanners.com,https://www.linkedin.com/company/advanced-scanners/,512-750-6570,2023-11-30,Series A,8200000,USD,8200000
Carefully,https://www.crunchbase.com/organization/carefully,"Apps, Community and Lifestyle, Health Care, Internet Services, Software",1-10,"Apps, Child Care, Health Care, Mental Health, Online Portals, Parenting","Brooklyn, New York, United States",Carefully is a software application that helps to build a network of parents to share and exchange ideas for childcare and mental health.,"27,740",,"24,951",https://carefullyapp.com,care@carefullyapp.com,https://www.linkedin.com/company/carefully/,,2024-02-29,Grant,,,
Junevity,https://www.crunchbase.com/organization/junevity,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Pharmaceutical","San Francisco, California, United States",Junevity develops medicines targeting transcription factors to reverse diseases of aging.,"27,866",,"25,069",https://www.junevity.com,founders@junevity.com,https://www.linkedin.com/company/junevity/,,2025-12-03,Seed,10000000,USD,10000000
KAHR medical,https://www.crunchbase.com/organization/kahr-medical,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Medical, Pharmaceutical","Jerusalem, Yerushalayim, Israel",KAHR Medical develops novel fusion protein pharmaceuticals for the treatment of cancer and autoimmune diseases.,"27,880",,"25,080",https://kahrbio.com,info@kahr-medical.com,https://www.linkedin.com/company/kahr-medical-ltd-/about/,97246392752,2025-10-15,Series B,22000000,USD,22000000
HemaCell,https://www.crunchbase.com/organization/hemacell,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Pharmaceutical","Suzhou, Jiangsu, China","HemaCell is a new cell therapy company to regenerate hematopoietic lineages in vitro, with unique stem cell reprogramming.","27,897",,"25,097",http://www.xuejibio.com/,info@xuejibio.com,,1-400-800-2526,2025-12-26,Debt Financing,120000000,CNY,17126465
She Matters,https://www.crunchbase.com/organization/she-matters-3449,"Health Care, Sports",1-10,"Fitness, Health Care, Mental Health, Personal Health, Wellness","New York, New York, United States",She Matters is a social networking platform dedicated to black women's mental health.,"28,000",,"25,189",https://www.shematters.health,info@shematters.io,https://www.linkedin.com/company/she-matters-inc,,2024-02-07,Venture - Series Unknown,2000000,USD,2000000
CS MEDICA,https://www.crunchbase.com/organization/cs-medica,"Health Care, Manufacturing",1-10,"Manufacturing, Medical Device, Pharmaceutical","Copenhagen, Hovedstaden, Denmark",CS MEDICA is a medical equipment manufacturing and distribution company focused on the treatment of autoimmune and stress-related disorders.,"28,001",,"25,190",https://www.cs-medica.com,info@cs-medica.com.com,https://www.linkedin.com/company/cs-medica,45 7070 7337,2024-05-28,Post-IPO Debt,2000000,DKK,290893
Squared Circles,https://www.crunchbase.com/organization/squared-circles,"Consumer Goods, Financial Services, Food and Beverage, Health Care, Lending and Investments",1-10,"Consumer Goods, Finance, Financial Services, Food and Beverage, Personal Health, Venture Capital","New York, New York, United States",Squared Circles is a Venture Studio That Incubates Science-Backed Consumer Products in Health & Wellness,"28,037",,"25,222",https://squaredcircles.com,info@squaredcircles.com,https://www.linkedin.com/company/squared-circles,,2024-05-30,Series A,40000000,USD,40000000
FEMSelect,https://www.crunchbase.com/organization/femselect,"Community and Lifestyle, Health Care",1-10,"Health Care, Medical, Medical Device, Women's","Modi'in, HaMerkaz, Israel",FEMSelect is making a lasting impact on women's health by delivering an innovative technology platform.,"28,038",,"25,223",https://femselect.com,info@femselect.com,https://www.linkedin.com/company/pop-medical-solutions/,1 215-940-8178,2025-05-13,Series B,,,
Miro,https://www.crunchbase.com/organization/miro-4807,Health Care,1-10,"Health Care, Medical Device","San Francisco, California, United States",Miro is a mobile health platform that modernizes brain healthcare.,"28,048",,"25,233",https://www.mirohealth.com,info@mirohealth.com,https://www.linkedin.com/company/miro-health/about/,415-655-3839,2019-01-07,Seed,5200000,USD,5200000
No Limbits,https://www.crunchbase.com/organization/no-limbits,"Clothing and Apparel, Commerce and Shopping, Design, Health Care, Other",1-10,"B2C, E-Commerce, Fashion, Retail, Wellness","Iowa City, Iowa, United States",No Limbits is a ready-to-wear adaptive clothing brand for people with disabilities.,"28,066",,"25,250",https://www.no-limbits.com,erica@no-limbits.com,https://www.linkedin.com/company/no-limbits/,,2025-04-01,Series A,3000000,USD,3000000
Carousel,https://www.crunchbase.com/organization/carousel-1c3b,"Education, Health Care, Media and Entertainment, Other, Social Impact, Software",1-10,"EdTech, Education, Edutainment, Social Impact, Software, Wellness","Golden, Colorado, United States",Carousel creates gamified e-learning technology for any SEL curriculum.,"28,099",,"25,283",https://www.joincarousel.io,info@joincarousel.io,https://www.linkedin.com/company/joincarousel,,2021-03-01,Pre-Seed,325000,USD,325000
Altera Biosciences,https://www.crunchbase.com/organization/altera-biosciences,"Biotechnology, Data and Analytics, Design, Health Care, Science and Engineering",1-10,"Biotechnology, Product Research, Therapeutics","Wilmington, Delaware, United States",Altera Biosciences is a preclinical-stage biotechnology company developing a universal donor cell platform.,"28,153",,"25,336",https://www.altera-bio.com/,info@altera-bio.com,https://www.linkedin.com/company/altera-biosciences-inc,,2025-07-31,Pre-Seed,29000000,ZAR,1591893
Hemex Health,https://www.crunchbase.com/organization/hemex-health,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Health Diagnostics, Medical Device","Portland, Oregon, United States",Hemex Health is a provider of a diagnostic device designed for populations at risk for malaria and sickle cell disease.,"28,188",,"25,367",http://hemexhealth.com/,,https://in.linkedin.com/company/hemex-health-inc.,(503)703-7696,2023-03-27,Grant,3000000,USD,3000000
Guard Medical,https://www.crunchbase.com/organization/guard-medical,Health Care,1-10,"Health Care, Medical, Medical Device","Miami, Florida, United States",Guard Medical is the developer of a medical device designed to reduce surgical site infections and improve the healing process.,"28,211",,"25,389",https://guard-medical.com/,info@guard-medical.com,https://www.linkedin.com/company/guard-medical/,,2022-04-05,Series B,11000000,USD,11000000
UrgentIQ,https://www.crunchbase.com/organization/urgentiq,"Health Care, Software",1-10,"Health Care, Medical, Software","New York, New York, United States","UrgentIQ is a medtech company that offers patient engagement, electronic medical records, and practice management solutions.","28,215",,"25,393",https://urgentiq.com/,support@urgentiq.com,https://www.linkedin.com/company/urgentiq,646-784-3420,2025-10-21,Seed,4950000,USD,4950000
Enspectra Health,https://www.crunchbase.com/organization/enspectra-health,Health Care,1-10,"Health Care, Medical","Menlo Park, California, United States",Enspectra Health is a digital transformation in pathology by imaging cellular anatomy.,"28,294",,"25,468",http://www.enspectrahealth.com/,info@enspectrahealth.com,https://www.linkedin.com/company/enspectra-health,(650) 714-0435,2022-03-16,Grant,1200000,USD,1200000
Enavate Sciences,https://www.crunchbase.com/organization/enavate-sciences,"Biotechnology, Health Care, Science and Engineering",1-10,"Health Care, Life Science, Medical","New York, New York, United States",Enavate Sciences is committed to invest in and support the strategic growth of innovative therapeutic and enabling technology companies.,"28,312",,"25,486",https://enavatesciences.com,info@enavatesciences.com,https://www.linkedin.com/company/enavate-sciences,+1 (332) 275-5551,2022-05-02,Private Equity,300000000,USD,300000000
Thermaband,https://www.crunchbase.com/organization/thermaband,"Consumer Electronics, Hardware, Health Care",1-10,"Consumer Electronics, Health Care, Wearables, Wellness","Miami, Florida, United States",Thermaband is a health and wellness company empowering menopausal women with personal comfort on demand through a cooling/warming wearable.,"28,343",,"25,516",https://thermaband.com,founders@mythermaband.com,https://www.linkedin.com/company/thermaband,,2022-12-05,Non-equity Assistance,,,
Arini,https://www.crunchbase.com/organization/arini,"Artificial Intelligence (AI), Data and Analytics, Health Care, Science and Engineering, Software",1-10,"Artificial Intelligence (AI), Dental, Software","San Francisco, California, United States","Arini is an AI receptionist for dental practices that answers phone calls, and schedules appointments.","28,350",,"25,523",https://www.arini.ai,founders@arini.ai,https://www.linkedin.com/company/ariniai/,+1 424-326-3366,2024-02-19,Pre-Seed,500000,USD,500000
Healionics,https://www.crunchbase.com/organization/healionics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical, Medical Device","Seattle, Washington, United States","Healionics has developed a novel vascular graft, based on a platform biomaterial, offering improved vascular access for dialysis patients.","28,363",,"25,535",http://www.healionics.com,info@healionics.com,https://www.linkedin.com/company/healionics-corporation,(206)432-9060,2025-12-31,Venture - Series Unknown,1964221,USD,1964221
eddii,https://www.crunchbase.com/organization/eddii,"Health Care, Software",1-10,"Health Care, Virtual Assistant","New York, New York, United States",eddii is a virtual in-app character designed to engage people living with diabetes to track and record their health.,"28,383",,"25,552",https://www.eddiihealth.com/,info@eddiihealth.com,https://www.linkedin.com/company/eddiihealth/,,2024-06-01,Seed,1500000,USD,1500000
SuperBetter,https://www.crunchbase.com/organization/superbetter-def3,"Apps, Education, Gaming, Health Care, Mobile, Software, Sports",1-10,"EdTech, Higher Education, Mental Health, Mobile Apps, SaaS, Secondary Education, Serious Games, Sports, Wellness","Glen Ellyn, Illinois, United States",Global innovation to unlock human potential,"28,428",,"25,596",https://superbetter.com,alliances@superbetter.com,https://www.linkedin.com/company/superbetter-llc/,,2023-01-05,Equity Crowdfunding,100000,USD,100000
FimmCyte,https://www.crunchbase.com/organization/fimmcyte,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care, Medical","Basel, Basel-Stadt, Switzerland",FimmCyte is a biotechnology company that engages in the research and treatment of chronic endometriosis disease.,"28,430",,"25,598",https://www.fimmcyte.com/,ms@fimmcyte.com,https://www.linkedin.com/company/fimmcyte/,,2024-02-28,Convertible Note,1000000,CHF,1137937
Porosome Therapeutics,https://www.crunchbase.com/organization/porosome-therapeutics,"Biotechnology, Health Care, Science and Engineering",1-10,"Biopharma, Biotechnology, Genetics, Therapeutics","Boston, Massachusetts, United States",Porosome Therapeutics is a biotech company that offers a membrane technology platform to treat diseases.,"28,521",,"25,680",https://www.porosome.com/,contact@Porosome.com,,+1 214-394-4549,2023-09-14,Seed,3625000,USD,3625000
Pando Bioscience,https://www.crunchbase.com/organization/pando-bioscience,"Biotechnology, Health Care, Science and Engineering",1-10,"Biotechnology, Health Care","Watertown, Massachusetts, United States",Pando Bioscience is a drug discovery platform based on synthetic biology.,"28,544",,"25,701",https://www.pando.bio,,https://www.linkedin.com/company/pando-bioscience,,2023-04-05,Pre-Seed,500000,USD,500000
Glamm,https://www.crunchbase.com/organization/glamm,"Clothing and Apparel, Commerce and Shopping, Community and Lifestyle, Consumer Goods, Design, Health Care",1-10,"Beauty, Fashion, Lifestyle, Marketplace, Wellness","Curitiba, Parana, Brazil",Brazilian BeautyTech marketplace that connects clients with independent beauty and wellness professionals through an on-demand platform,"28,567",,"25,723",https://glamm.com.br,contato@glammapp.com.br,https://www.linkedin.com/company/glamm.app/,,2026-04-10,Pre-Seed,,,
Tempero Bio,https://www.crunchbase.com/organization/tempero-bio,"Biotechnology, Health Care, Manufacturing, Science and Engineering",1-10,"Biopharma, Biotechnology, Manufacturing","Oakland, California, United States",Tempero Bio develops treatments for Substance Use Disorders as a clinical-stage biopharmaceutical company.,"28,573",,"25,729",https://temperobio.com,info@temperobio.com,https://www.linkedin.com/company/tempero-bio-inc,+1 510 227 2102,2025-03-24,Series B,76958457,USD,76958457
Hume Supernatural,https://www.crunchbase.com/organization/hume-supernatural,"Commerce and Shopping, Consumer Goods, Health Care",1-10,"Consumer Goods, Personal Health, Retail, Wellness","Encinitas, California, United States",Hume Supernatural is a personal care company that offers chemical-free deodorants.,"28,610",,"25,763",https://humesupernatural.com,info@humesupernatural.com,https://www.linkedin.com/company/hume-supernatural,+6199936366,2026-03-03,Venture - Series Unknown,3627001,USD,3627001
